Biomolecule,Algorithm,PVal
C10H16N2O8[M]+,KCC,0.677648440107391
C10H16N2O8[M]+,KMeans,0.677648440107391
C10H16N2O8[M]+,Recolorize,0.0134260835715174
C10H16N2O8[M]+,Supercells,0.733011481008198
C10H16N2O8[M]+,Binning,0.0501375838961732
C10H16N2O8[M]+,MultiOtsu,0.789478464630226
C10H16N2O8[M]+,PyTorch,0.0121559580300902
C14H14O6[M]+,Truth,0.0516414471225012
C14H14O6[M]+,Clara,0.337460252462818
C14H14O6[M]+,KCC,0.279590718537707
C14H14O6[M]+,KMeans,0.279590718537707
C14H14O6[M]+,Recolorize,0.98697054106061
C14H14O6[M]+,Supercells,0.749416119577199
C14H14O6[M]+,Binning,0.486264183539598
C14H14O6[M]+,MultiOtsu,0.434128993967359
C14H14O6[M]+,PyTorch,0.0915832650341955
C20H30O2[M]+,Truth,0.636654443792924
C20H30O2[M]+,Clara,0.948604547394195
C20H30O2[M]+,KCC,0.872666745976141
C20H30O2[M]+,KMeans,0.872666745976141
C20H30O2[M]+,Recolorize,0.09948805171348
C20H30O2[M]+,Supercells,8.08992507616384e-07
C20H30O2[M]+,Binning,0.994021178306836
C20H30O2[M]+,MultiOtsu,0.938290245627528
C20H30O2[M]+,PyTorch,0.0965571132411037
C5H10N2O3[M]+,Truth,0.413397770243376
C5H10N2O3[M]+,Clara,0.472725474788722
C5H10N2O3[M]+,KCC,0.834419883929857
C5H10N2O3[M]+,KMeans,0.834419883929857
C5H10N2O3[M]+,Recolorize,0.782374749664905
C5H10N2O3[M]+,Supercells,0.498582006031008
C5H10N2O3[M]+,Binning,0.85058856611505
C5H10N2O3[M]+,MultiOtsu,0.925368462351224
C5H10N2O3[M]+,PyTorch,0.628447725894296
C5H10N2O[M]+,Truth,2.08789555819221e-08
C5H10N2O[M]+,Clara,0.356200083983499
C5H10N2O[M]+,KCC,0.488889320217203
C5H10N2O[M]+,KMeans,0.488889320217203
C5H10N2O[M]+,Recolorize,0.473620021437733
C5H10N2O[M]+,Supercells,0.0460774336369773
C5H10N2O[M]+,Binning,0.261746817247326
C5H10N2O[M]+,MultiOtsu,0.458253168493028
C5H10N2O[M]+,PyTorch,1.74129431087861e-09
C17H20N2O2+H,Truth,0.00640132406929476
C17H20N2O2+H,Clara,2.11841159215937e-07
C17H20N2O2+H,KCC,1.01486033456937e-05
C17H20N2O2+H,KMeans,1.01486033456937e-05
C17H20N2O2+H,Recolorize,0.390367451961711
C17H20N2O2+H,Supercells,0.204546595646919
C17H20N2O2+H,Binning,0.304404875755679
C17H20N2O2+H,MultiOtsu,1.10194519464326e-05
C17H20N2O2+H,PyTorch,0.00302849303794647
C14H12O5[M]+,Truth,0.0300689639672699
C14H12O5[M]+,Clara,0.549002871995996
C14H12O5[M]+,KCC,0.438367568214537
C14H12O5[M]+,KMeans,0.438367568214537
C14H12O5[M]+,Recolorize,0.507624341658443
C14H12O5[M]+,Supercells,0.478887702649022
C14H12O5[M]+,Binning,0.882355902183803
C14H12O5[M]+,MultiOtsu,0.506132651415213
C14H12O5[M]+,PyTorch,0.0476039769714674
CH2O[M]+,Truth,0.499156273985248
CH2O[M]+,Clara,0.00250607113809696
CH2O[M]+,KCC,0.00631757029811551
CH2O[M]+,KMeans,0.00631757029811551
CH2O[M]+,Recolorize,0.0517561232104815
CH2O[M]+,Supercells,0.00552922656626856
CH2O[M]+,Binning,0.0464840491177159
CH2O[M]+,MultiOtsu,0.000984955287374833
CH2O[M]+,PyTorch,0.64206340555717
C10H21N3O3[M]+,Truth,3.99977814289087e-20
C10H21N3O3[M]+,Clara,0.348179371491006
C10H21N3O3[M]+,KCC,0.782071558876205
C10H21N3O3[M]+,KMeans,0.782071558876205
C10H21N3O3[M]+,Recolorize,0.0768121295773575
C10H21N3O3[M]+,Supercells,0.000646135898782349
C10H21N3O3[M]+,Binning,0.00994363388238301
C10H21N3O3[M]+,MultiOtsu,0.966981081663976
C10H21N3O3[M]+,PyTorch,8.6734821095179e-21
C7H10O5[M]+,Truth,0.293154147510133
C7H10O5[M]+,Clara,0.232629389674992
C7H10O5[M]+,KCC,0.324476510809923
C7H10O5[M]+,KMeans,0.324476510809923
C7H10O5[M]+,Recolorize,0.405424828562642
C7H10O5[M]+,Supercells,0.464588361376472
C7H10O5[M]+,Binning,0.0605693789752914
C7H10O5[M]+,MultiOtsu,0.436334945855774
